Word,Positive,Negative,Strong,Weak,Active,Passive
explosion,,2,,,3,
export,,,,,2,
expos,,,,,2,
expres,,,,,,2
expressiv,,,,,2,
expulsion,,3,3,,2,
exquisit,3,,,,,
extend,,,,,2,
exterminat,,3,3,,3,
extinction,,3,2,,2,
extinguish,,2,2,,2,
extol,3,,,,,
extract,,,,,2,
extraordinary,2,,,,,
extravagant,,1,,,,
extrem,,1,,,,
fac,,,1,,1,
facilitat,1,,1,,,
faciliti,,,2,,,
facility,,,2,,,
faction,,,,1,,
faculti,,,2,,,
faculty,,,2,,,
fad,,1,,2,,3
fail,,3,,3,,3
failur,,3,,3,,3
faint,,3,,2,,3
fair,3,,1,,,
faith,3,,2,,,
faithful,3,,2,,,
faithfully,3,,2,,,
fal,,2,,3,,3
fall,,2,,3,,3
fallen,,2,,3,,3
fals,,2,,1,,
falsehood,,2,,,,
falsfly,,2,,,,
falsifi,,3,1,,,1
falsify,,3,1,,,1
falter,,2,,3,,
fam,2,,1,,,
familiar,2,,,,,
famou,2,,1,,,
fan,,,,,1,
fanatic,,3,,,,
fantastic,3,,1,,,
farc,,2,,1,,
fascinat,2,,,,,
fashionabl,2,,,,,
fast,,,2,,2,
faster,,,2,,3,
fat,,2,,2,,3
fatal,,2,,3,,3
fateful,,1,,,,
fatigu,,2,,2,,3
fault,,2,,1,,
favor,2,,1,,,
favorabl,2,,1,,,
favorit,2,,,,,
fealty,2,,,,,1
fear,,3,,2,,3
fearful,,3,,3,,
feast,3,,1,,2,
federation,1,,2,,,
feebl,,2,,3,,3
feel,,,,,,3
felicitation,3,,,,,1
fell,,2,,3,,3
fellow,2,,,,,
fellowship,2,,1,,,
felt,,,,,,3
ferociou,,3,3,,2,
ferociousnes,,3,3,,2,
fertil,1,,3,,,
fervent,3,,2,,3,
fervor,3,,2,,3,
festival,,,,,2,
fetch,,,,,2,
fever,,1,,2,,
feverish,,3,,2,,
fickl,,1,,1,,
fidelity,3,,1,,,
fiend,,3,,,,
fierc,,3,3,,3,
fiery,,3,3,,3,
fight,,3,3,,3,
fighter,,1,3,,3,
fight*-for,2,,1,,3,
fighting*-for,2,,1,,3,
fights*-for,2,,1,,3,
figur,,,,,,1
filthy,,3,,,,
fin,3,,,,,
find,,,,,1,
finish,,,,,1,
fir,,2,2,,3,
firm,1,,3,,,
firmly,1,,3,,,
firmnes,1,,3,,,
fit,,,1,,1,
fitnes,2,,3,,,
fl,,2,,1,3,
flagrant,,3,3,,,
flash,,,,,3,
flatter,3,,,,,2
flawles,3,,3,,,
fle,,3,,3,2,
fleet,,,2,,,
flew,,,2,,3,
flexibl,,,2,,,
fli,,,2,,3,
flight,,,,2,3,
float,,,,2,,3
flood,,2,2,,2,
flourish,3,,3,,3,
flout,,3,2,,2,
flow,,,,,2,
flown,,,2,,2,
flung,,,1,,2,
fly,,,2,,3,
fo,,2,,,,
foil,,2,3,,2,
fold,,,,2,,3
folli,,2,,2,,
follow,,,,1,,2
folly,,2,,2,,
fond,2,,,,,
fondnes,2,,,,,
fool,,2,,3,,
foolish,,1,,3,,
forbid,,3,3,,2,
forbidden,,2,,,,
forc,,,3,,3,
forcibl,,2,3,,2,
forcibly,,2,3,,2,
forego,,,,,,2
foreign,,1,,,,
foreigner,,1,,,,
foremost,2,,3,,,
forese,,,,,,2
forever,,,3,,,
forfeit,,2,,3,,3
forgav,2,,,1,,2
forget,,1,,1,,2
forgiv,2,,,1,,2
forgiven,2,,,1,,2
forgot,,1,,1,,2
forgotten,,1,,1,,2
formation,,,3,,1,
formidabl,2,,3,,,
forsak,,1,,2,,3
forsaken,,1,,2,,3
forsook,,1,,2,,3
fortun,1,,3,,,
fortunat,2,,,,,
fortunately,2,,,,,
forward,2,,2,,2,
fought,,3,2,,3,
found,1,,,,1,
foundation,,,2,,,
founder,,2,,2,,3
fragranc,1,,,,,
frank,2,,3,,,
frankly,1,,,,,
fraternal,3,,,,,
fraud,,3,,2,,
fre,3,,1,,2,
freedom,3,,2,,,
freely,3,,2,,,
frequent,,,,,2,
fresh,1,,2,,,
friend,3,,,,,
friendly,3,,,,,
friendship,3,,,,,
fright,,3,,2,,
frighten,,3,,,1,
frown,,1,,,,2
fruitful,2,,2,,,
frustrat,,3,,,1,
fugitiv,,3,,3,,
fulfil,2,,3,,2,
fulfill,2,,3,,2,
fulfillment,2,,2,,1,
full,,,2,,,
fullest,,,2,,,
fullness,,,3,,,
fun,2,,,,,
function,,,1,,1,
fundamental,,,1,,,
funny,2,,,,,
furiou,,3,2,,3,
furnish,,,,,1,
further,,,1,,,
fury,,3,2,,,
gaiety,3,,,,,
gain,2,,2,,,
gallant,3,,2,,,
gambl,,2,,,3,
garrison,,,3,,,
gather,,,,,1,
gav,,,,,1,
gay,2,,,,,
general,,,1,,,
generou,2,,1,,,
generously,2,,1,,,
genial,2,,,,,
geniu,3,,2,,,
gentl,2,,,2,,3
gently,2,,,2,,3
genuin,3,,2,,,
genuinely,3,,2,,,
gestur,,,,,1,
get,,,,,1,
ghastly,,3,,,,
giant,,,3,,,
gift,1,,,,,
gigantic,,,3,,,
giv,1,,1,,1,
given,,,,,1,
glad,3,,,,,2
gladly,3,,,,,2
glanc,,,,,,2
glar,,1,,,,2
gle,3,,,,,
gleam,1,,,,,
gloom,,3,,,,
glorify,3,,,,,
gloriou,3,,1,,,
glory,3,,2,,,
go,,,1,,2,
goal,,,1,,,
gold,2,,,,,
gon,,,,,2,
good,3,,,,,
goodnes,2,,,,,
goodwill,3,,,,,
gorgeou,3,,,,,
got,,,,,1,
govern,,,3,,1,
government,,,1,,,
grab,,2,,,3,
grac,3,,3,,,
graceful,2,,1,,,
graciou,3,,1,,,
graft,,3,,,,
grand,3,,2,,,
grant,,,,,1,
grasp,,2,2,,3,
grateful,3,,,,,
gratefully,3,,,,,
gratifi,2,,1,,,2
gratification,3,,,,,
gratify,2,,1,,,2
gratitud,2,,,,,2
grav,,3,,1,,
gravely,,2,,,,
gravity,,2,,1,,
great,3,,3,,,
greater,3,,3,,,
greatest,3,,3,,,
greet,2,,,,1,
grew,,,2,,1,
grief,,3,,2,,3
griev,,3,,2,,3
grim,,3,,,,
grin,1,,,,,2
grind,,,2,,2,
grip,,,2,,2,
groan,,3,,3,,2
gros,,1,,,,
ground,,,2,,1,
grow,,,2,,2,
growth,,,2,,1,
grudg,,2,,,,1
guarante,1,,1,,,2
guard,,1,1,,1,
guid,1,,2,,2,
guilt,,2,,,,
guilty,,2,,,,
gun,,,1,,,
habit,,,,1,,
halfway,,,,2,,
halt,,1,3,,1,
hamper,,1,1,,1,
handful,,,,3,,
handicap,,1,,3,,
handl,,,,,2,
handsom,2,,,,,
hang,,2,,,,3
happines,3,,,,,
happy,3,,,,,
hard,,3,2,,,
hardship,,,,1,,
hardy,2,,2,,,
harm,,3,2,,2,
harmful,,3,2,,,
harmles,1,,,2,,3
harmoniou,3,,1,,,
harmoniz,3,,1,,,
harmony,3,,1,,,
harras,,2,,,2,
harrassment,,2,,,2,
harsh,,2,2,,,
harshnes,,2,2,,,
hast,,,,,3,
hasten,,,,,3,
hastily,,,,,3,
hat,,3,,,,2
hateful,,3,,,,
hatr,,3,,,,1
haughty,,2,,,,
havoc,,3,,,,
hazard,,3,,,,
hazardou,,3,,,,
he,1,,,,,1
health,3,,2,,,
healthy,3,,2,,,
heap,,,,,1,
hear,,,,,,3
heard,,,,,,3
heartfelt,3,,1,,,
heartily,2,,2,,,
heartles,,3,,,,
heartlessnes,,3,,,,
heathen,,2,,,,
heavy,,,1,,,
heighten,,,3,,,
heinou,,3,,,,
held,,,1,,1,
hell,,3,,,,
help,2,,,,2,
helpful,2,,,,2,
helples,,2,,3,,3
hero,3,,3,,,
heroic,3,,2,,2,
heroin,2,,,,,
hesitant,,1,,2,,3
hesitat,,1,,2,,3
hid,,,,1,,2
hideou,,3,,,,
high,,,1,,,
highly,,,1,,,
hinder,,3,3,,2,
hindranc,,2,,,,
hir,,,,,1,
historic,2,,,,,
hit,,2,2,,3,
hold,,,,,1,
hollow,,1,,2,,
holocaust,,,,,2,
holy,3,,,,,
homag,3,,,,,
honest,2,,,,,
honor,3,,1,,2,
honorabl,3,,,,,
honorably,3,,,,,
hop,3,,1,,,2
hopeful,3,,1,,,
hopeles,,3,,3,,2
hopelessly,,3,,3,,2
horribl,,3,1,,,
horrid,,3,1,,,
horrifi,,3,2,,3,
horrify,,3,2,,3,
horror,,3,,,,
hostil,,3,,,,
hostiliti,,3,,,,
hostility,,3,,,,
howl,,3,,,,1
hug,,,2,,,
human,1,,,,,
humanitarian,3,,,,,
humanity,2,,,,,
humbl,1,,,2,,3
humiliat,,2,2,,1,
humiliation,,2,,2,,
humility,1,,,2,,3
humor,1,,,,,
hung,,2,,,,3
hunt,,2,,,3,
hurri,,,,,3,
hurry,,,,,3,
hurt,,,2,,2,
hustl,,,,,3,
hypocrisi,,2,,,,
hypocrisy,,2,,,,
ideal,3,,,,,
idealiz,3,,,,,
ideally,3,,,,,
identical,1,,,,,
identically,1,,,,,
identifi,,,,,,1
identify,,,,,,1
idiot,,3,,2,,
idl,,1,,2,,3
idol,3,,,,,
idolatry,,2,,,,
ignominiou,,3,,,,
ignor,,,,,,3
ignoranc,,2,,1,,
ill,,2,,2,,3
illegal,,2,,,,
illegality,,2,,,,
illegally,,2,,,,
illegitimat,,1,,,,
illicit,,1,,,,
illustrat,,,,,1,
illustriou,3,,2,,,
imagin,,,,,,3
imagination,,,,,,3
imitat,2,,,,1,
immatur,,1,,2,,
immaturity,,1,,2,,
immens,,,3,,,
immoral,,3,,,,
immorality,,3,,,,
immortal,3,,3,,,
immortaliz,3,,,,,
impair,,2,2,,2,
impartial,2,,,,,
impatienc,,2,,1,,
imped,,2,2,,2,
impediment,,2,2,,,
imperativ,,1,,,,
imperfect,,2,,2,,
imperial,,,1,,,
imperialism,,2,,,,
imperialist,,3,2,,2,
imperialistic,,3,2,,,
implement,,,2,,2,
impli,,,,,,2
implor,,2,,,,
imply,,,,,,2
import,,,,,1,
importanc,2,,1,,,
important,2,,1,,,
impos,,1,2,,3,
imposition,,1,2,,,
impossibl,,3,,,,
impres,1,,2,,1,
impressiv,2,,2,,,
imprison,,2,2,,2,
imprisonment,,2,,,,
improv,2,,2,,2,
improvement,1,,2,,1,
impudenc,,2,,,,
inabiliti,,2,,3,,3
inability,,2,,3,,3
inacceptabl,,1,,,,
inacceptability,,1,,,,
inaccessibl,,2,,2,,
inadequat,,1,,3,,
inadequately,,1,,3,,
incapabl,,1,,3,,3
incendiary,,3,,,,2
incens,,2,,,,1
incessant,,2,2,,,
incessantly,,2,2,,,
incident,,1,,,,
incidental,,,,,,
incit,,2,1,,2,
incomparabl,1,,3,,,
incompatabl,,1,,,,
incompatabliity,,1,,,,
incomplet,,,,2,,
incongruity,,1,,,,
incongruou,,1,,,,
incontrovertibl,,,3,,,
inconvenienc,,2,,,,
incorrect,,1,,1,,
incorrectly,,1,,1,,
incorrectnes,,1,,1,,
increas,,,2,,,
incredibl,,2,,,,
incredibly,,2,,,,
incur,,,,,1,
incursion,,2,2,,2,
indebt,,1,,1,,
indefinit,,1,,,,1
independenc,2,,2,,,
independent,2,,2,,,
independently,2,,2,,,
indicat,,,,,,2
indication,,,,,,2
indifferenc,,1,,,,3
indifferent,,1,,2,,2
indignant,,3,,,,2
indignation,,2,,,,
indirect,,,,1,,
indispensabl,3,,2,,,
indors,1,,1,,,1
induc,,,2,,2,
indulg,,1,,,1,
indulgenc,1,,,2,,
industrial,,,2,,,
industriou,2,,3,,3,
inescapabl,,3,3,,,
inevitability,,1,1,,,
inevitabl,1,,,,,
inexhaustibl,1,,3,,,
infancy,,,,3,,
infatuat,3,,,,,
infect,,1,,,,3
inferior,,2,,3,,
inferiority,,2,,3,,
infernal,,2,,,,
infinit,,,2,,,
inflict,,2,3,,3,
infliction,,2,,,,
influenc,,,3,,2,
influential,,,2,,,
inform,1,,,,,1
infraction,,2,,,1,
infring,,1,2,,2,
infringement,,1,2,,2,
infuriat,,3,,,,1
ingratitud,,3,,,,1
inhibit,,1,1,,1,
inhibiiton,,1,,,,
inimical,,2,,,,
initiat,,,2,,2,
initiativ,,,1,,1,
injur,,3,3,,2,
injuri,,2,,3,,
injuriou,,2,,,,
injury,,2,,3,,
injustic,,3,,,,
innocenc,2,,,,,
innocent,2,,,,,
inoperabl,,1,,3,,3
inquir,,,,,,2
inroad,,1,1,,1,
insan,,3,,3,,
insanity,,3,,3,,1
insecur,,3,,3,,
insecurity,,3,,3,,
insensibl,,2,,2,,2
insert,,,,,1,
insidiou,,3,,,,
insight,1,,,,,1
insignificant,,1,,2,,
insinuat,,1,,,,2
insinuation,,2,,,,2
insist,,1,3,,2,
insolenc,,2,,,,
insolent,,2,,,,
inspect,,,,,2,
inspection,,,,,2,
inspir,2,,2,,1,
instal,,,,,2,
install,,,,,2,
institut,,,,,2,
instruct,,,,,1,
instruction,,,,,1,
insufficient,,1,,2,,
insult,,3,,,,2
insur,,,2,,,1
insuranc,,,2,,,
insurgenc,,2,3,,3,
insurgent,,2,3,,3,
insurrection,,3,3,,3,
integrat,2,,2,,,
integration,2,,2,,,
integrity,3,,1,,,
intellect,1,,1,,,
intelligenc,2,,2,,,
intelligent,2,,2,,,
intend,,,,,,2
intens,,1,1,,,
intensification,,1,3,,,
intensify,,1,2,,,
intensiv,,,2,,,
intercept,,2,3,,2,
interchang,1,,,,3,
intercours,1,,,,2,
interest,1,,,,,2
interfer,,2,1,,2,
interferenc,,2,1,,2,
interpret,,,,,,1
interrupt,,1,,,3,
interven,,2,3,,3,
intervention,,2,3,,2,
interview,,,,,1,
intimat,2,,,,,2
intimidat,,2,2,,1,
intimidation,,2,2,,1,
intolerabl,,3,,,,
intrigu,,2,,,2,
introduc,,,,,1,
intrud,,2,,,3,
invasion,,3,3,,3,
intrusion,,3,2,,2,
invad,,3,3,,3,
invalid,,1,,2,,
invectiv,,2,,,,1
invent,,,,,2,
invest,,,,,2,
investigat,,,,,2,
investigation,,,,,2,
invidiou,,3,,,,1
inviolability,2,,3,,,
invit,1,,,,1,
invitation,1,,,,1,
invok,,,,,3,
involv,,,,,1,
iron,,,3,,,
irrational,,3,,,,
irreconcilabl,,3,,,,
irreconcilability,,3,,1,,
irregular,,1,,,,
irresponsibl,,3,,3,,
irritant,,1,1,,,
irritat,,3,,,1,
irritation,,3,,,,
isolat,,1,2,,2,
isolation,,1,,,,1
issu,,,,,1,
jar,,1,,,2,
jealou,,3,,1,,2
jealousy,,3,,,,
jeopardiz,,2,1,,1,
jeopardy,,2,,,,
jest,,,,,,1
join,2,,3,,1,
jointly,1,,3,,,
jok,1,,,,,1
jolly,2,,,,,
journey,1,,,,3,
journi,1,,,,3,
joy,3,,,,,
judg,,,,,,1
judiciou,3,,,,,
jump,,,,,3,
just,3,,,,,
justic,3,,,,,
justifi,1,,,,,1
justifiably,1,,,,,
justify,1,,,,,1
keen,1,,2,,,
keep,,,,,1,
kept,,,,,1,
kick,,,2,,3,
kil,,3,3,,3,
kill,,3,3,,3,
killer,,3,3,,,
kind,3,,,,,
kindly,2,,,,,
kindnes,2,,1,,,
kindr,1,,,,,
kinship,2,,1,,,
kneel,,,,2,,2
knelt,,,,2,,3
knew,,,,,,2
knock,,1,2,,2,
know,,,,,,2
labor,,,2,,3,
laboriou,,1,,,2,
laid,,,,,,3
lam,,1,,3,,3
lament,,2,,2,,3
larg,,,2,,,
last,,,2,,,
laud,3,,,,,1
laugh,2,,,,,1
laughter,3,,,,,
launch,,,3,,2,
law,1,,,,,
lawful,2,,,,,
lay,,,,,,2
lazy,,1,,2,,3
lead,,,2,,3,
leader,,,2,,3,
leadership,,,2,,3,
leagu,,,2,,,
lean,,,,2,1,
leap,,,,,3,
leapt,,,,,3,
learn,,,,,,2
leas,,,,,1,
least,,,,2,,
leav,,,,,1,
left,,,,,1,
legal,2,,,,,
legaliz,1,,,,1,
legion,,,2,,,
legislation,,,,,1,
legitimat,2,,2,,,
leisur,,,,,,3
lend,,,,,1,
lent,,,,,2,
les,,,,2,,
let,,,,,,1
level,1,,1,,,
levi,,,,,1,
levy,,,,,1,
li,,2,,,,2
liar,,2,,,,
liberal,1,,,,,
liberat,3,,3,,2,
liberation,3,,3,,3,
liberti,3,,,,,
liberty,3,,,,,
licens,,1,,,,
lick,,,,,1,
lif,,,2,,,
lift,,,1,,2,
lightn,,,3,,3,
lik,2,,,,,2
limit,,,2,,1,
limitles,,,3,,,
linger,,,,,,3
link,1,,,,1,
liquidat,,3,3,,2,
liquidation,,3,3,,3,
listen,,,,,,2
littl,,,,2,,
liv,,,1,,2,
lively,1,,2,,3,
load,,,3,,2,
loan,1,,,,2,
loath,,3,,,,3
loathsom,,3,,,,
locat,,,,,1,
lofty,2,,1,,,
loneliness,,2,,2,,
lonely,,2,,2,,
lonesom,,2,,2,,
long,,,2,,,
longer,,,1,,,
look,,,,,,3
loos,,,,1,,
los,,1,,1,,
lost,,1,,3,,
loud,,1,1,,,1
lov,3,,,,,1
lovabl,3,,,,,
lovely,3,,,,,
low,,2,,,,
loyal,3,,2,,,2
loyally,3,,2,,,
luck,,,1,,,
lucky,2,,1,,,
luxuriou,2,,,,,
luxury,3,,,,,
ly,,2,,,,2
machination,,1,,,1,
mad,,3,1,,1,
madmen,,3,,,,
madnes,,3,,3,,2
magnanimity,3,,,,,
magnificent,3,,1,,,
magnificently,3,,3,,,
maintain,,,1,,1,
majestic,3,,2,,,
majesty,3,,3,,,
major,1,,2,,,
majoriti,,,3,,,
mak,,,1,,2,
maladjustment,,2,,2,,
malevolenc,,3,,,,
malevolent,,3,,,,
malic,,3,,,,
maliciou,,3,,,,1
malign,,3,,,,2
malignant,,3,,,,
manag,,,1,,2,
manipulat,,2,2,,3,
mankind,2,,,,,
manufactur,,,,,2,
many,,,3,,,
mar,,2,3,,1,
march,,,1,,3,
mark,,,,,1,
marriag,2,,,,,
marvelou,3,,1,,,
mas,,,1,,,
massacr,,3,3,,3,
massiv,,,2,,,
master,,,3,,3,
masterful,3,,3,,,
masterpiec,3,,,,,
match,,,1,,1,
matur,,,1,,,
maturity,2,,3,,,
maximum,,,3,,,
may,,,1,,,
meager,,1,,3,,
mean,,2,,2,,
meaningles,,1,,3,,1
measur,,,,,1,
meditat,,,,,,2
meet,,,,,1,
melancholy,,2,,,,
melt,,,,2,,
menac,,3,3,,3,
mend,,,,,1,
mendaciou,,2,,,,
mendacity,,2,,,,
mental,,,,,,3
mention,,,,,,1
mer,,1,,2,,
mercenari,,3,,,,
merci,2,,,1,,
merciful,2,,,,,
merciles,,3,2,,,
mercy,2,,,1,,
merit,2,,1,,,
meritoriou,2,,3,,1,
monopoli,,3,3,,,
monopoly,,2,3,,,
mollify,1,,,,1,
money,,,2,,,
moni,,,2,,,
monotonou,,1,,,,
monster,,3,2,,,
monument,2,,3,,,
mor,,,2,,,
moral,3,,,,,
morality,3,,,,,
mortal,,,1,,,
mortifi,,3,,1,1,
mortify,,3,,1,1,
most,,,3,,,
motherly,2,,,,,
motion,,,,,2,
mount,,,,,3,
mourn,,3,,,,2
mov,,,1,,2,
movement,,,1,,2,
much,,,2,,,
multiply,,,3,,1,
multitud,,,2,,,
murder,,3,2,,3,
murderou,,3,2,,2,
must,,,2,,,
mutilat,,3,3,,2,
mutilation,,3,3,,2,
mutual,1,,,,,
mysteri,,1,,,,
mystery,,1,,,,
mystical,,,,,,3
narrow,,1,,1,,
natural,1,,,,,
naught,,1,,2,,
ne,,2,,2,,
neat,2,,,,,
necessary,,1,,,,
necessitat,,1,,,,
necessiti,,1,,,,
necessity,,1,,,,
need,,2,,2,,
needful,,2,,2,,
needles,,1,,,,
nefariou,,3,,,,
negat,,1,,,,
negation,,1,,,,
negativ,,2,,,,
neglect,,2,,1,,2
negligenc,,2,,1,,2
negotiat,2,,,,3,
negotiation,2,,,,,
neighbor,2,,,,,
neighborly,2,,,,,
nerv,,,1,,,
nervou,,2,,2,,
neutral,,,,,,3
neutrality,,,,,,3
new,,,1,,,
nic,2,,,,,
nobiliti,3,,,,,
nobility,3,,,,,
nobl,3,,1,,,
nois,,1,,,,
nominat,,,,,,1
nonaggression,3,,,,,1
nonsens,,1,,,,
normal,2,,,,,
normaliz,1,,,,,
notabl,2,,3,,,
noteworthy,2,,3,,,
noth,,,,3,,
notic,,,,,,2
notifi,,,,,,1
notification,,,,,,1
notify,,,,,,1
notoriou,,3,,,,
noxiou,,3,,,,
nuclear,,,3,,,
numerou,,,2,,,
obedienc,1,,,2,,2
obey,1,,,2,,2
object,,1,,,,1
objection,,1,,,,
objectionabl,,1,,,,
oblig,2,,3,,,3
obligation,,,,1,,
obnoxiou,,3,,,,
obscur,,1,,,,
obscurity,,1,,,,
observ,,,,,,2
observation,,,,,,2
obstacl,,2,2,,,
obstinat,,2,3,,1,
obstruct,,2,3,,2,
obtain,2,,2,,,
occupation,,3,1,,1,
occupational,,,,,2,
occupi,,3,1,,1,
occupy,,3,1,,1,
odd,,1,,,,
odiou,,3,,,,
odium,,3,,,,
odor,,2,,,,
offend,,3,,,2,
offens,,3,2,,3,
offensiv,,3,2,,3,
offer,1,,1,,,1
old,,,,2,,
ominou,,3,,,,
omit,,1,,1,,2
onward,,,2,,3,
open,1,,,,2,
openly,2,,,,,
operat,,,,,1,
opinion,,,,,,2
opponent,,2,,,,
opportun,2,,1,,1,
opportunistic,,2,1,,,
opportunity,1,,,,,
oppos,,3,3,,3,
opposite,,1,,,,
opposition,,1,,,,
oppres,,3,3,,3,
oppression,,3,3,,2,
oppressiv,,3,3,,2,
ordeal,,2,,,,
order,1,,2,,3,
ordinary,,1,,,,
organiz,1,,2,,3,
organization,1,,2,,,
originat,,,,,2,
ought,,,1,,,
outrag,,3,,,,
outrageou,,3,,,,
outstand,2,,2,,,
overcam,,2,3,,2,
overcom,,2,3,,2,
overflow,,,2,,2,
overid,,1,3,,3,
overlook,,,,,,2
overpower,,2,3,,3,
overrul,,1,3,,2,
overrun,,2,3,,3,
overthrow,,2,3,,3,
overturn,,2,3,,3,
overwhelm,,2,3,,3,
ow,,1,,1,,
own,,,1,,,
ownership,,,1,,,
pac,,,,,2,
pacify,1,,,2,1,
pack,,,,,1,
pact,2,,,,,
paid,,,,,1,
pain,,3,,,,
painful,,3,,,,
pal,,,,2,,
panic,,3,,3,3,
parad,,,,,2,
paradis,3,,,,,
paragon,3,,3,,,
pardon,1,,,,1,
part,,,,,1,
partak,,,,,2,
partial,,,,2,,
participat,1,,1,,2,
participation,1,,1,,2,
particular,1,,,,,
partition,,1,,,2,
partner,2,,2,,,
partnership,2,,2,,,
partook,,,,,2,
pas,,,,,1,
passion,3,,,,,
passiv,,,,,,3
paternal,2,,,,,
pathetic,,2,,3,,
patienc,2,,2,,,2
patriot,2,,,,,
patriotic,2,,,,,
patriotism,2,,,,,
patron,1,,,,,
patronag,2,,,,,
pauper,,2,,3,,2
paus,,,,1,,2
pawn,,2,,3,,
pay,,,,,1,
payment,,,,,1,
peac,3,,,,,
peaceful,3,,,,,2
peacefully,3,,,,,2
peacelov,3,,,,,2
peculiar,,1,,,,
penetrat,,1,3,,2,
penetration,,1,3,,2,
perceiv,,,,,,2
perfect,3,,3,,,
perfection,3,,3,,,
perfectly,3,,,,,
perform,,,2,,2,
peril,,3,,,,
perilou,,3,,,,
perish,,3,,3,,3
permanent,,,1,,,
permeat,,,1,,1,
permission,1,,,,,
permit,2,,1,,,2
perniciou,,2,,,,
perpetual,,,2,,,
perpetuat,,,2,,1,
perplex,,2,,1,,
persecut,,3,2,,2,
persecution,,3,2,,2,
perseveranc,1,,3,,,
persist,,,3,,3,
persistent,,,3,,2,
persistently,,,3,,3,
persuad,1,,2,,,1
perturb,,3,,,,1
pervers,,2,,,,
perversion,,2,,,,
pervert,,2,,,2,
petition,1,,,,,1
petty,,1,,1,,
phil,3,,,,,
philanthropic,2,,1,,,
phob,,2,,,,
phobia,,2,,,,
pick,,,,,1,
pillag,,3,3,,3,
pioneer,,,,,2,
piou,1,,,,,
piracy,,3,2,,2,
piratic,,3,2,,2,
piratical,,3,,,1,
pitch,,,,,3,
piti,,1,,,,2
pitiful,,2,,3,,
pitiles,,2,,,,
pity,,1,,,,2
plagu,,3,1,,,2
plain,1,,,,,
plan,,,1,,1,
play,,,,,3,
plea,,,,1,,1
plead,,,,1,,1
pleas,3,,,,,
pleasant,2,,,,,
pleasur,3,,,,,
pledg,1,,,,,1
plentiful,3,,3,,,
plight,,2,,3,,
plot,,2,,,2,
plu,,,1,,,
plunder,,3,3,,2,
plung,,1,,,3,
pois,1,,2,,,2
poison,,3,,,,
polemic,,3,,,,
polic,,,2,,2,
polish,,,,,2,
polit,1,,,1,,
pollut,,3,,,1,
ponder,,,,,,2
poor,,2,,2,,
popular,2,,1,,,
population,,,1,,,
pos,,1,,,,2
positiv,1,,,,,
posses,,,1,,,
possibility,1,,2,,,
possibl,,,1,,,
postpon,,,,,1,
potential,2,,1,,,
pour,,,,,2,
poverty,,2,,2,,
power,,,3,,,
powerful,,,3,,,
powerles,,,,3,,2
practic,,,,,2,
practical,1,,,,,
prais,3,,1,,,2
prank,,1,,,1,
pray,1,,,,,2
preach,,,,,,1
precariou,,2,,,,
precaution,,1,,,,
preciou,3,,3,,,
precis,1,,,,,
predatory,,2,2,,2,
predict,,,,,,2
prefer,2,,,,,2
prejudic,,2,,,,
prematur,,,,1,,
prematurely,,1,,1,,
premium,1,,1,,,
prepar,,,2,,2,
preparation,,,,,1,
pres,,,2,,3,
prescrib,,,,,1,
present,,,,,1,
preserv,1,,2,,1,
preservation,2,,2,,,
presid,,,1,,1,
president,,,2,,,
pressur,,2,3,,,
prestig,2,,2,,,
presum,,,,,,2
presumption,,,,,,2
presumptuou,,2,,,,
pretend,,2,,,,2
pretens,,2,,,,2
pretext,,1,,,,
prevail,,1,3,,2,
prevaricat,,1,,,,1
prevarication,,1,,,,
prevent,,2,3,,2,
prevention,,,2,,,
preventiv,,,2,,2,
prid,2,,1,,,
primary,,,2,,,
principal,,,1,,,
principl,2,,,,,
print,,,,,1,
prison,,2,,,,
prisoner,,3,,3,,3
privileg,3,,1,,,
priz,2,,2,,,1
pro,2,,,,,
probity,2,,2,,,
problem,,1,,,,
proce,,,,,2,
proces,,,,,2,
proclaim,,,2,,,1
proclivity,,,1,,,
procur,,,2,,2,
prodigiou,2,,3,,,
produc,,,2,,2,
profan,,2,,,,
profes,,,,,,1
profit,2,,2,,,
profound,2,,1,,,
progres,2,,2,,2,
progressiv,2,,1,,,
prohibit,,2,3,,2,
prohibition,,2,2,,,
prohibitiv,,1,2,,,
prolong,,1,,,1,
prominent,1,,3,,,
promis,1,,,,,2
promot,1,,3,,2,
prompt,2,,1,,,
pronounc,,,1,,,1
propaganda,,1,,,,
propensity,,,2,,,
proper,2,,1,,,
properly,1,,,,,
properti,,,2,,,
property,,,2,,,
prophet,2,,,,,
propitiou,2,,,,,
propos,,,1,,,2
proposal,,,,,,1
proprieti,2,,1,,,
propriety,2,,1,,,
prosecution,,2,,,3,
prosper,2,,3,,3,
prosperity,2,,3,,,
protect,2,,2,,2,
protection,2,,2,,,
protest,,2,,,,1
protestation,,2,,,,1
proud,2,,1,,,
prov,,,1,,,1
provid,1,,2,,1,
providenc,2,,1,,,
provision,,,1,,,
provocateur,,3,2,,3,
provocation,,3,1,,2,
provocativ,,3,1,,2,
provok,,2,2,,3,
prowl,,2,,,2,
prudent,1,,1,,,
pul,,,2,,2,
pull,,,2,,2,
punch,,2,3,,3,
punish,,3,3,,2,
punishment,,3,3,,2,
puppet,,3,,3,,
pur,3,,,,,
purchas,,,,,1,
purpos,,,1,,,
pursu,,,2,,3,
push,,1,2,,3,
put,,,,,1,
puzzlement,,1,,2,,2
